ccvm,name,cnpj,type,situation
15288,CETERP-CENT TELEF RIB PRETO SA,00.956.274/0001-59,CIAS ABERTAS,Cancelado em 24/10/2000
21792,CETIP S.A. - MERCADOS ORGANIZADOS,09.358.105/0001-91,CIAS ABERTAS,Cancelado em 03/07/2017
517631,CEVAL CENTRO OESTE S/A,24.959.199/0001-48,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
16829,CEVAL PARTICIPAÇOES SA,02.189.227/0001-52,CIAS ABERTAS,Cancelado em 15/10/1999
2607,CEVEKOL SA IND COM PROD QUIM,60.586.948/0001-00,CIAS ABERTAS,Cancelado em 22/03/2005
512915,CHAPADA DA PRATA SA,25.560.525/0001-02,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
520110,CHAPADA DA PRATA SA,25.560.525/0001-02,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/07/2015
509094,CHAPADAO AGRI SA,32.476.608/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 27/06/1997
12637,CHAPECO CIA INDL DE ALIMENTOS,82.949.371/0001-89,CIAS ABERTAS,Cancelado em 03/06/1994
2615,CHAPECO PARANA SA IND E COM,77.404.937/0001-57,CIAS ABERTAS,Cancelado em 16/08/1988
8419,CHASE MANHATTAN LEASING SA A M,43.817.154/0001-83,CIAS ABERTAS,Cancelado em 07/07/2000
503290,CHAVES HOT E TUR SA,12.000.469/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
18767,CHEMICAL TRUST S/A,03.391.520/0001-60,CIAS ABERTAS,Cancelado em 07/01/2005
21113,CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.,07.450.604/0001-89,CIAS ABERTAS,Cancelado em 19/10/2015
509787,CIA AGREGADOS LEVES DO PARA,04.069.035/0001-38,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
508772,CIA AGRI DO MA,07.142.185/0001-18,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/03/1998
501212,CIA AGRI MATA ESCURA,11.612.348/0001-56,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/11/1996
512877,CIA AGRICOLA ARAPUA,24.269.912/0001-21,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520560,CIA AGRICOLA ARAPUA,24.269.912/0001-21,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/03/2017
515760,CIA AGRICOLA DO ACARA,34.814.509/0001-90,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 07/11/1997
500577,CIA AGRICOLA DO JOHA - CAJA,10.593.804/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/10/2007
503444,CIA AGRICOLA FAZENDA GALICIA,08.736.225/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
504335,CIA AGRICOLA FORTALEZA,24.083.305/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505358,CIA AGRICOLA INDUSTRIAL PECUARIA ITATIRA,05.872.668/0001-42,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515167,CIA AGRICOLA MASSANGANO,24.404.394/0001-01,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
502758,CIA AGRICOLA SANTO ANTONIO,20.564.290/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503860,CIA AGRICOLA SERRA D'AGUA,08.023.384/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/01/2007
511684,CIA AGRICOLA VALE DO RIO UTINGA,33.882.507/0001-75,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508624,CIA AGRICOLA VALE DO ZUTIUA,10.049.740/0001-76,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
509906,CIA AGRICOLA VOLTA DO RIO,32.630.733/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
2674,CIA AGRO INDL DE GOIAS CAGIGO,02.194.017/0001-52,CIAS ABERTAS,Cancelado em 04/09/1991
2690,CIA AGRO PECUARIA SANTA INES,06.276.703/0001-23,CIAS ABERTAS,Cancelado em 09/07/1986
503975,CIA AGROINDL ALIM NE CANAAN,06.731.665/0001-51,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/08/2008
519880,CIA AGROINDL BOI BRANCO,09.677.477/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 22/09/2014
504734,CIA AGROINDL DO NE P/ EXP,07.344.047/0001-11,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514438,CIA AGROINDL NOVA ESPERANCA,32.625.782/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
512265,CIA AGROINDL PARAENSE INDUPARA,04.786.448/0001-33,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 25/07/1992
514578,CIA AGROINDL PIRAMBEBA,12.779.856/0001-96,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
515647,CIA AGROINDL SALINAS SALISA.,35.493.527/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
504246,CIA AGROINDL SAO JOSE,07.770.019/0001-66,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515337,CIA AGROPAST MATA DA CHUVA,03.198.421/0001-67,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
502308,CIA AGROPASTORIL BEIRA RIO,11.727.112/0001-65,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
519138,CIA AGROPASTORIL DIAMANTE,07.315.229/0001-64,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 29/07/2011
508047,CIA AGROPASTORIL DO CERRADO,08.715.492/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/09/2008
502960,CIA AGROPASTORIL JACARANDA BA,11.550.977/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505510,CIA AGROPASTORIL VALE PIRAGIBA,11.486.255/0001-22,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/06/2011
518441,CIA AGROPEC AGROSAN,04.939.757/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/03/2007
517798,CIA AGROPEC AMAPA BUFALO CAPAB,04.201.679/0001-38,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/06/2000
504114,CIA AGROPEC CONTINENTAL,04.619.771/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/09/2015
519413,CIA AGROPEC DO JAHU,05.426.846/0001-01,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/06/2017
514519,CIA AGROPEC E INDL S.GONCALO,11.696.036/0001-78,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/02/2008
512354,CIA AGROPEC MONTEIRO,12.632.915/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511749,CIA AGROPEC RANCHARIA - CAPRI,09.249.087/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/11/2005
516899,CIA AGROPEC SAO FRANCISCO,10.411.296/0001-97,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
500500,CIA AGROPEC SIMEIRA,05.096.755/0001-55,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
516783,CIA AGROPEC STA IZABEL,04.198.198/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/03/1998
510459,CIA AGROPEC SUL DA BAHIA,14.351.852/0001-38,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/07/1992
504262,CIA AGROPEC VALE DO BOQUEIRAO,11.672.086/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
504599,CIA AGROPEC VALE DO MUQUEM,08.635.716/0001-77,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508780,CIA ALAGOAS INDUSTRIAL-CINAL,08.444.655/0001-60,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/12/2010
501018,CIA ALCOOLQUIM NACIONAL,11.699.378/0001-41,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
2704,CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS,07.292.675/0001-09,CIAS ABERTAS,Cancelado em 21/03/2006
514411,CIA AMAZONENSE AGROINDL,04.311.536/0001-89,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
503380,CIA AMAZONENSE DE PROD ELETR,04.306.197/0001-42,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 16/09/1992
2712,CIA AMAZONENSE SAPONIFICACAO,04.564.696/0001-30,CIAS ABERTAS,Cancelado em 20/12/2005
2747,CIA AMERICA FABRIL,33.615.956/0001-57,CIAS ABERTAS,Cancelado em 21/09/2004
2739,CIA AMERICA SUL CFI,33.074.691/0001-27,CIAS ABERTAS,Cancelado em 19/05/1989
508632,CIA ATIV RURAIS DO NE - CARNE,22.672.596/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 16/10/2000
2780,CIA AUXILIAR EMP MIN CAEMI,33.490.095/0001-28,CIAS ABERTAS,Cancelado em 06/05/1991
504211,CIA AVIC DA AM SA - CEAA,06.769.897/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 16/03/2011
501190,CIA AVIC STA INES - COASI,08.179.954/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515965,CIA AVICOLA DO NE CIANE,41.102.492/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/12/2003
516970,CIA AVICOLA MASSANGANA CIAMA,40.999.856/0001-37,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 06/04/2005
515272,CIA BAHIANA DE CARNES - COBAC.,09.940.024/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
2810,CIA BANDEIRANTES ARMS GERAIS,58.128.174/0001-14,CIAS ABERTAS,Cancelado em 20/05/2011
2801,CIA BANDEIRANTES CFI,17.167.362/0001-74,CIAS ABERTAS,Cancelado em 21/07/1997
2828,CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES,42.584.128/0001-90,CIAS ABERTAS,Cancelado em 20/12/2005
519731,CIA BOA VISTA DE ALIMENTOS DO NE,06.784.524/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/01/2014
2836,CIA BOZANO SIMONSEN COM IND,42.113.662/0001-18,CIAS ABERTAS,Cancelado em 22/04/1992
502260,CIA BRAS AGROPASTORIL,04.787.677/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/09/1996
505790,CIA BRAS COMPON DE CALCADOS,07.817.893/0001-01,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
512389,CIA BRAS DE AGROPEC - COBRAPE,02.455.483/0001-44,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/07/2016
503541,CIA BRAS DE ASFALTO AMAZONIA,05.099.585/0001-62,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520527,CIA BRAS DE ASFALTO AMAZONIA,05.099.585/0001-62,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/12/2016
507512,CIA BRAS DE LATICINIOS,10.483.444/0001-89,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500046,CIA BRAS DE POLIURETANO,13.029.194/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500259,CIA BRAS DE TORRES,11.413.150/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
2852,CIA BRAS MATERIAIS COBRACO,33.316.100/0001-80,CIAS ABERTAS,Cancelado em 29/05/1987
2879,CIA BRAS PLASTICOS MONSANTO,61.079.315/0001-60,CIAS ABERTAS,Cancelado em 16/10/1985
2887,CIA BRAS PROJETOS OBRAS CBPO,61.156.410/0001-10,CIAS ABERTAS,Cancelado em 14/01/1993
2844,CIA BRASILEIRA DE ESTRUTURAS METALICAS,07.203.144/0001-94,CIAS ABERTAS,Cancelado em 13/11/2007
509299,CIA CACHUCHA PASTORIL,06.298.962/0001-55,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
2909,CIA CACIQUE CAFE SOLUVEL,78.588.415/0001-15,CIAS ABERTAS,Cancelado em 23/03/2015
16861,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,82.508.433/0001-17,CIAS ABERTAS,Concedido em 06/02/1998
500291,CIA CEARA TEXTIL,07.275.779/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/01/2000
501980,CIA CEARENSE AGROINDL DO CAJU,07.360.506/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
516848,CIA CEARENSE DE CIMEN PORTLAND,07.205.719/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 29/12/2000
2917,CIA CERVEJARIA BRAHMA,33.366.980/0001-08,CIAS ABERTAS,Cancelado em 08/11/2000
2925,CIA CERVEJARIA CUIABANA,03.468.832/0001-25,CIAS ABERTAS,Cancelado em 24/10/1997
2976,CIA CIMENTO ATOL,09.934.407/0001-60,CIAS ABERTAS,Cancelado em 27/11/1995
2992,CIA CIMENTO IPANEMA,60.869.302/0001-22,CIAS ABERTAS,Cancelado em 06/02/1991
3000,CIA CIMENTO PORTL GAUCHO,89.724.017/0001-03,CIAS ABERTAS,Cancelado em 12/04/1993
3018,CIA CIMENTO PORTL PARAISO,33.160.318/0001-99,CIAS ABERTAS,Cancelado em 31/03/1997
3026,CIA CIMENTO SALVADOR,15.218.084/0001-01,CIAS ABERTAS,Cancelado em 24/06/1988
2941,CIA COMERCIAL BORBA CAMPO,61.422.663/0001-99,CIAS ABERTAS,Cancelado em 22/11/2006
2950,CIA COML SCHRADER,82.636.887/0001-73,CIAS ABERTAS,Cancelado em 28/09/2000
12491,CIA CONSTRUTORA PEDERNEIRAS,33.034.901/0001-53,CIAS ABERTAS,Cancelado em 21/03/2006
514632,CIA CRIADORA DE PEIXES IRACEMA,04.872.883/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520616,CIA CRIADORA DE PEIXES IRACEMA,04.872.883/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/06/2017
19968,CIA DE AGUA E ESGOTO DA PARAIBA,09.123.654/0001-87,CIAS ABERTAS,Cancelado em 24/06/2011
510904,CIA DE ALIM DO MARANHÃO - COMASA,12.542.007/0001-14,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/07/2002
505129,CIA DE CITRUS DO PARA,04.374.427/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
500593,CIA DE COCOS DO NE - CCN,11.494.564/0001-44,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
507954,CIA DE DES DO NORTE,04.731.519/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519405,CIA DE DES DO NORTE,04.731.519/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 31/10/2012
510475,CIA DE DES NOVA OLINDA,04.050.829/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514900,CIA DE LUBRIF DO NE - LUBRINOR,09.795.659/0001-56,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515590,CIA DE MECANIZACAO DA AM - CMA,05.635.644/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
518115,CIA DE NAVEGACAO DO NORTE CONAN,06.258.024/0001-21,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/03/2008
503932,CIA DE OLEOS VEG DO BRASIL,09.053.620/0001-63,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/09/1999
18708,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,01.938.783/0001-11,CIAS ABERTAS,Concedido em 26/07/2000
19240,CIA DE RECUPERAÇÃO SECUNDÁRIA,04.652.792/0001-30,CIAS ABERTAS,Cancelado em 28/06/2012
510637,CIA DE SACOS DO MARANHAO,12.536.082/0001-72,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
12025,CIA DES ARAGUAIA CODEARA,03.631.397/0001-08,CIAS ABERTAS,Cancelado em 18/05/1992
3034,CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA,05.770.003/0001-28,CIAS ABERTAS,Cancelado em 09/08/2005
515434,CIA DO RIO PRETO AQUI COM E EX,24.551.772/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3174,CIA DOCAS DE IMBITUBA,84.208.123/0001-02,CIAS ABERTAS,Cancelado em 28/11/2017
14524,CIA ELETRICIDADE DA BAHIA,15.139.629/0001-94,CIAS ABERTAS,Concedido em 28/07/1994
14869,CIA ENERG CEARA - COELCE,07.047.251/0001-70,CIAS ABERTAS,Concedido em 13/06/1995
2453,CIA ENERG MINAS GERAIS - CEMIG,17.155.730/0001-64,CIAS ABERTAS,Concedido em 30/06/1971
14362,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,10.835.932/0001-08,CIAS ABERTAS,Concedido em 29/04/1994
18139,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,08.324.196/0001-81,CIAS ABERTAS,Concedido em 04/01/1999
16900,CIA ENERGETICA MERIDIONAL,02.201.268/0001-17,CIAS ABERTAS,Cancelado em 28/03/2008
507180,CIA EQUATORIAL DE MINERACAO,04.821.435/0001-58,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
16373,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,33.352.394/0001-04,CIAS ABERTAS,Concedido em 28/07/1997
20648,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,08.467.115/0001-00,CIAS ABERTAS,Concedido em 17/04/2007
3204,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,92.715.812/0001-31,CIAS ABERTAS,Concedido em 07/01/1970
3220,CIA FABRICA YOLANDA,10.783.777/0001-23,CIAS ABERTAS,Cancelado em 09/08/2005
3239,CIA FABRIL MASCARENHAS,16.718.231/0001-75,CIAS ABERTAS,Cancelado em 26/04/2006
3247,CIA FERRO BRASILEIRO,18.977.124/0001-97,CIAS ABERTAS,Cancelado em 26/12/1991
506567,CIA FERRO E ACO DE VITORIA,33.495.615/0001-95,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3069,CIA FERRO LIGAS BAHIA FERBASA,15.141.799/0001-03,CIAS ABERTAS,Concedido em 28/02/1961
506516,CIA FERROLIGAS MG - MINASLIGA,16.933.590/0001-45,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/08/2006
3255,CIA FIAÇÃO TECELAGEM PARA MINAS,23.116.551/0001-10,CIAS ABERTAS,Cancelado em 04/01/2010
500860,CIA FIACAO TECIDOS CEDRONORTE,21.796.032/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/01/1991
505650,CIA FRIGORIFICO POTENGY,08.479.123/0001-69,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3280,CIA GERAL DE INDUSTRIAS,92.659.325/0001-07,CIAS ABERTAS,Cancelado em 18/03/2008
507318,CIA GRAFICA DO NE,12.506.192/0001-91,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3301,CIA HERING,82.639.139/0001-44,CIAS ABERTAS,Cancelado em 30/04/1999
14761,CIA HERING,78.876.950/0001-71,CIAS ABERTAS,Concedido em 26/01/1995
3328,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,33.541.368/0001-16,CIAS ABERTAS,Concedido em 19/12/1969
506702,CIA HOTEIS TURISTICOS - COMTUR,13.369.475/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3433,CIA INDL AGRIC SANTA CECILIA,33.433.822/0001-15,CIAS ABERTAS,Cancelado em 29/11/2001
518476,CIA INDL ALIMENTOS DO NORDESTE CIAN,08.666.091/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 22/08/2006
3379,CIA INDL AMAZONENSE,04.384.319/0001-19,CIAS ABERTAS,Cancelado em 10/07/1998
512133,CIA INDL DE CELULOSE E PAPEL,13.004.304/0001-79,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
502600,CIA INDL DE LATIC DO ACRE,04.061.693/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
510769,CIA INDL DE LATICINIOS DO CARIRI - CILCA,07.584.279/0001-47,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520411,CIA INDL DE LATICINIOS DO CARIRI - CILCA,07.584.279/0001-47,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/07/2016
512192,CIA INDL DE MADEIRAS CIM,04.387.734/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505331,CIA INDL DE OLEOS DO NE,07.199.490/0001-46,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510246,CIA INDL DE REVESTIM CERAMICOS,12.924.130/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/06/2000
503150,CIA INDL DE VIDROS DO CEARA,05.379.664/0001-27,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 31/12/1996
503312,CIA INDL ITAUNENSE DO NE,16.805.251/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/02/1992
512591,CIA INDL LATICINIOS PARA-CILPA,14.031.868/0001-63,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3468,CIA INDL MERC ARTEF FERRO,61.074.506/0001-30,CIAS ABERTAS,Cancelado em 09/09/1999
3441,CIA INDL MERC PAOLETTI,56.969.355/0001-48,CIAS ABERTAS,Cancelado em 14/02/1992
3476,CIA INDL MICHELETTO,07.285.448/0001-48,CIAS ABERTAS,Cancelado em 09/05/1988
518794,CIA INDL MOVEIS PATENTE FAIXA AZUL,10.775.112/0001-78,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 07/08/2008
3514,CIA INDL RIO GUAHYBA,92.779.438/0001-38,CIAS ABERTAS,Cancelado em 12/07/1993
3530,CIA INDL SAO PAULO RIO CISPER,33.174.145/0001-68,CIAS ABERTAS,Cancelado em 03/05/1988
3549,CIA INDL SCHLOSSER SA - EM RECUPERAÇÃO JUDICIAL,82.981.929/0001-03,CIAS ABERTAS,Concedido em 28/06/1985
3360,CIA INDUSTRIAL AGROPECUARIA CONAPE,07.785.306/0001-40,CIAS ABERTAS,Cancelado em 01/11/2005
3387,CIA INDUSTRIAL BELO HORIZONTE,17.161.316/0001-68,CIAS ABERTAS,Cancelado em 09/08/2005
13811,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,07.998.164/0001-07,CIAS ABERTAS,Cancelado em 22/03/2005
502880,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,07.998.164/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 26/04/1991
3344,CIA INDUSTRIAL DOX,33.041.120/0001-96,CIAS ABERTAS,Cancelado em 07/08/1997
3450,CIA INDUSTRIAL ITAUNENSE - EM RECUPERAÇÃO JUDICIAL,21.254.073/0001-80,CIAS ABERTAS,Concedido em 02/04/1969
3425,CIA INDUSTRIAL PELES COUROS,07.197.411/0001-68,CIAS ABERTAS,Cancelado em 22/03/2005
3522,CIA INDUSTRIAL SANTA MATILDE,19.711.282/0001-63,CIAS ABERTAS,Cancelado em 04/01/2010
507210,CIA INTEGR DE MIN CALCINAC PI,06.721.286/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
15792,CIA INTER-ATLANTICO PARTICIPS,01.222.069/0001-22,CIAS ABERTAS,Cancelado em 03/03/1997
3557,CIA INTERNACIONAL FIDUCIARIA,42.584.060/0001-49,CIAS ABERTAS,Cancelado em 12/05/1989
3093,CIA INVEST DO PARA,04.904.199/0001-33,CIAS ABERTAS,Cancelado em 10/11/1986
14745,CIA INVESTS LATINOAMERICANA,00.189.469/0001-10,CIAS ABERTAS,Cancelado em 13/01/2003
3573,CIA IOCHPE,92.753.367/0001-02,CIAS ABERTAS,Cancelado em 03/08/1993
517062,CIA JOFRA AGRICOLA,69.923.613/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3603,CIA LECO DE PRODS ALIMENTICIOS,60.434.487/0001-42,CIAS ABERTAS,Cancelado em 20/02/2009
12947,CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO,78.597.697/0001-17,CIAS ABERTAS,Cancelado em 07/08/2007
3620,CIA MADEIREIRA SAO MIGUEL,04.971.941/0001-23,CIAS ABERTAS,Cancelado em 09/08/2005
501948,CIA MARANHENSE DE PROD AGROPEC,09.016.361/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519545,CIA MARANHENSE DE PROD AGROPEC,09.016.361/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/03/2013
515841,CIA MARANHENSE DE ROUPAS COMAR,12.112.330/0001-58,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/07/2002
3638,CIA MARANHENSE REFRIGERANTES,06.272.199/0001-93,CIAS ABERTAS,Cancelado em 19/05/2010
512184,CIA MATOS NOVOS VALE ITAPECURU,06.996.185/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3646,CIA MATS SULFUROSOS MATSULFUR,22.664.890/0001-79,CIAS ABERTAS,Cancelado em 30/11/2002
510548,CIA METALURGICA DO ES,28.415.164/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
509639,CIA METALURGICA DO MA,12.536.553/0001-42,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
12246,CIA MINUANO DE ALIMENTOS,91.154.690/0001-99,CIAS ABERTAS,Cancelado em 13/08/1991
510947,CIA N SRA DAS MASCARENHAS,24.069.916/0001-66,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
3735,CIA NAC FRIGORIFICOS CONFRIO,71.039.119/0001-16,CIAS ABERTAS,Cancelado em 14/04/1989
15555,CIA NACIONAL DE ALCALIS,33.098.112/0001-86,CIAS ABERTAS,Cancelado em 04/01/2010
3727,CIA NACIONAL ESTAMPARIA CIANE,71.444.582/0001-43,CIAS ABERTAS,Cancelado em 04/01/2010
3760,CIA NAVEGACAO LLOYD BRASILEIRO,33.630.120/0001-21,CIAS ABERTAS,Cancelado em 24/10/1997
3778,CIA NITROQUIMICA BRASILEIRA,61.150.348/0001-50,CIAS ABERTAS,Cancelado em 03/08/1990
508616,CIA NORDESTINA DE ALIMENTOS - CANORTE,10.913.796/0001-27,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
507580,CIA NORDESTINA DE PRODS AVIC,11.008.083/0001-81,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508110,CIA NORDESTINA DE SUINOCULTURA,08.334.187/0001-71,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
506052,CIA PAJEU DO MARANHAO-PAJEU,06.133.003/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/07/2010
3786,CIA PARAIBA CIM PORTL CIMEPAR,10.804.300/0001-87,CIAS ABERTAS,Cancelado em 27/11/1995
510440,CIA PARAIBANA DE RAFIA,12.680.542/0001-31,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
