ccvm,name,cnpj,type,situation
12343,AGF BRASIL SEGUROS SA,61.573.796/0001-66,CIAS ABERTAS,Cancelado em 30/05/2005
175,AGGS INDS GRAFICAS SA,33.058.793/0001-59,CIAS ABERTAS,Cancelado em 04/05/1987
3921,AGIP DISTRIBUIDORA SA,61.442.752/0001-05,CIAS ABERTAS,Cancelado em 14/01/2000
517070,AGIR AGRESTE INDL DE RAFIA SA,24.111.809/0001-59,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510580,AGISA AGROPAST E INDL SA,07.468.069/0001-93,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
503487,AGNORD IND C CONF AGUIA NE SA,06.722.441/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
20664,AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A,07.698.047/0001-10,CIAS ABERTAS,Cancelado em 28/05/2010
183,AGRALE SA,88.610.324/0001-92,CIAS ABERTAS,Cancelado em 26/06/2000
21911,AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA,11.040.082/0001-14,CIAS ABERTAS,Cancelado em 19/07/2010
80080,AGRENCO LIMITED,-,CIAS ESTRANGEIRAS,Cancelado em 16/05/2017
515221,AGRICOLA BEBEDOURO SA,63.235.436/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500720,AGRICOLA BEIRA RIO SA,13.719.224/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/11/2000
518921,AGRICOLA MISTA MARAJOARA SA  - AGRIMAR,04.335.238/0001-29,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/10/2009
512095,AGRICOLA NOVO HORIZONTE SA,15.144.603/0001-34,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
507032,AGRICOLA VALE DO MANGEREBA SA,09.319.567/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/12/1993
516554,AGRICOLA VALE DO MENDONCA SA,41.153.636/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
507407,AGRÍCOLA VALE VERDE SA,27.751.452/0001-61,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519871,AGRÍCOLA VALE VERDE SA,27.751.452/0001-61,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 16/09/2014
511005,AGRICULTURA MECANIZADA S/A,22.974.380/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
191,AGRILEASING SA ARREND MERC,88.070.990/0001-85,CIAS ABERTAS,Cancelado em 30/09/1985
507008,AGRIMISA AGROPEC IND MIN PA SA,04.986.857/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
510076,"AGRINCO-AGROPEC,IND E COM SA",21.356.787/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/02/1991
501808,AGRIPEC QUIM E FARMAC,07.467.822/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/01/2007
503460,AGRO AGRI RONDONIA SA,05.763.669/0001-59,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
504548,AGRO IND JURUPARI ACRE SA,04.523.403/0001-76,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/09/2004
517216,AGRO INDL ITAPIRANGA SA,04.167.904/0001-67,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
509949,AGRO INDL JAGUARUANA SA,07.561.855/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
516147,AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A,13.642.699/0001-35,CIAS INCENTIVADAS REGISTRADAS,Concedido em 21/10/1994
509264,AGRO MECANIZ AGRI RONDONIA SA,34.738.393/0001-57,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520357,AGRO MERCANTIL URTIGAS SA AMUSA,09.273.145/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 30/03/2016
515663,AGRO PASTORIL ANGICOS S. A....,09.242.066/0001-62,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
205,AGRO PASTORIL CARIRI SA CARIRISA,09.378.563/0001-92,CIAS ABERTAS,Cancelado em 09/08/2005
509825,AGRO UNA AGRICOLA CURUA UNA S/A,05.149.737/0001-94,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
504980,AGROALEGRE AGROINDUSTRIAL E PASTORIL MONTE ALEGRE SA,05.750.765/0001-62,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
519979,AGROBALSAS EMPREEND INDS E AGROPEC SA,07.066.491/0001-12,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/01/2015
518379,AGROBRAGANTINA SA,04.657.227/0001-65,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 17/11/2005
516244,AGROBRAS AGRIC TROP DO BR SA,24.380.727/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/11/2004
511773,AGROBUFALO SA,04.255.592/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520241,AGROBUFALO SA,04.255.592/0001-43,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 02/02/2016
512613,AGROCISA-AGROPEC COM E IND SA,03.101.169/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520624,AGROCISA-AGROPEC COM E IND SA,03.101.169/0001-26,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/07/2017
507806,AGROCUNHA SA,32.477.002/0001-62,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
512664,AGROIND BAQUIT SA,23.461.411/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520420,AGROIND BAQUIT SA,23.461.411/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/07/2016
511366,AGROINDL BAMA SA,04.792.719/0001-63,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 21/01/1993
516317,AGROINDL BARÃO DO MELGAÇO SA,63.791.461/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
505749,AGROINDL BARRO BRANCO SA,08.987.190/0001-94,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
501085,AGROINDL CAIANA SA,10.775.997/0001-05,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510530,AGROINDL ESTRELA SA,15.950.058/0001-73,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503614,AGROINDL IRMAOS ALMEIDA SA,08.983.322/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511820,AGROINDL LUIZ GUIMARAES SA,05.594.288/0001-93,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
513261,AGROINDL MANACAPURU SA,04.183.513/0001-36,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
509892,AGROINDL R. FUNDO SA-AGRISA,24.272.999/0001-96,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
510564,AGROINDL SA  AGROISA,05.220.132/0001-42,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2006
505226,AGROINDL SAO PAULO SA,03.164.753/0001-20,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/10/2010
513997,AGROINDL SERRA DAS VARAS SA,24.422.719/0001-89,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511927,AGROINDL STA LUZIA SA,12.627.758/0001-33,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511153,AGROINDL SUINORTE SA,04.071.676/0001-27,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/04/1991
507903,AGROINDL TRAVESSIA SA,12.765.541/0001-90,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
518085,AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A,00.922.144/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519715,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,00.082.253/0001-51,CIAS INCENTIVADAS REGISTRADAS,Concedido em 18/12/2013
519847,AGROINDUSTRIAL E PASTORIL NATIVA S.A.,02.855.176/0001-50,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 12/04/2018
511277,AGROINDUSTRIAL PALMASA S/A,15.282.791/0001-67,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519472,AGROINDUSTRIAL PALMASA S/A,15.282.791/0001-67,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/02/2013
518859,AGROINDUSTRIAL SAPUCAIA S/A,02.680.715/0001-68,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 09/03/2015
